Draw No,Draw Date,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Div1,Div2,Div3,Div4,Div5,Div6,Div7,Div1 No Win,Div2 No Win,Div3 No Win,Div4 No Win,Div5 No Win,Div6 No Win,Div7 No Win,Prize Payable,Rollover,Rollover Count,Next Estimated Jackpot,Next Guaranteed Jackpot,Total Sales,Draw Machine,Ball Set
923,2009/10/24,47,10,16,40,49,3,11,0,391983,7106,2319,141,99,10.5,0,2,100,259,5541,7892,102587,4734939.5,0,0,1000000,0,9481129,Dimakatso,39
922,2009/10/21,8,32,20,34,25,39,43,1079093,334005,4486,1260,105,62,10.5,1,1,63,163,3175,5349,63558,3233468,0,0,1000000,0,6473260,Tsakani,51
921,2009/10/17,33,8,20,31,28,15,17,0,0,11260,2324,185,108,10.5,0,0,78,332,5130,8783,97258,4568671,0,0,1000000,0,9139674,Mooinooi,35
920,2009/10/14,2,17,1,24,32,20,11,1116207,172746,3143,808,75,45,10.5,1,2,93,263,4566,7517,81743,3505518.5,0,0,1000000,0,7031877,Ndyebokazi,25
919,2009/10/10,16,25,20,1,28,27,32,1643499,254351,4782,1476,88,71,10.5,1,2,90,212,5751,7099,108040,5040030,0,0,1000000,0,10095030,Mapula,45
918,2009/10/07,15,31,8,34,26,25,5,0,996198,7463,2175,153,98,10.5,0,1,121,351,6511,10110,120014,5909756,0,0,1000000,0,11830558,Mapula,38
917,2009/10/03,19,6,43,39,31,9,36,0,206328,6449,2342,119,113,10.5,0,6,174,405,10347,10868,174632,7601617,0,0,1000000,0,15237117,Khensani,51
916,2009/09/30,47,48,46,16,19,27,1,0,726124,7566,2367,141,113,10.5,0,1,87,235,5131,6373,97834,4411488,0,0,1000000,0,8840728,Khensani,25
915,2009/09/26,48,3,27,49,25,40,12,1644158,127226,4101,807,101,60,10.5,1,4,105,388,5023,8464,100445,4966618.5,0,0,1000000,0,9938673,Khensani,45
914,2009/09/23,43,37,45,2,49,3,6,0,565133,8988,3701,171,137,10.5,0,1,57,117,3304,4124,68554,3360255,0,0,1000000,0,6721254,Ndyebokazi,24
913,2009/09/19,37,48,10,5,16,30,9,723662,63997,3132,1072,81,56,10.5,2,7,121,257,5513,7861,101114,4498245,0,0,1000000,0,9015415,Khensani,25
912,2009/09/16,25,3,43,36,21,24,14,0,145641,9265,2086,162,97,10.5,0,4,57,214,3576,5950,70362,3452336,0,0,1000000,0,6922144,Khensani,37
911,2009/09/12,44,18,32,5,26,9,45,0,748694,4465,2608,123,115,10.5,0,1,152,220,6040,6480,103347,4574397.5,0,0,1000000,0,9167434.5,Ndyebokazi,26
910,2009/09/09,1,25,21,44,42,49,2,0,306781,7040,3177,150,121,10.5,0,2,79,148,4088,5055,74425,3646235.5,0,0,1000000,0,7297165.5,Mapula,25
909,2009/09/05,49,8,39,2,20,24,5,0,181904,5806,1997,142,87,10.5,0,5,142,349,6389,10364,118763,5486842.5,0,0,1000000,0,10994221.5,Ndyebokazi,54
908,2009/09/02,4,37,8,43,11,32,20,0,336131,8583,2500,152,111,10.5,0,2,71,206,4416,6003,84503,4021501.5,0,0,1000000,0,8057398,Ndyebokazi,24
907,2009/08/29,42,18,39,22,35,11,20,0,426162,7884,2655,137,121,10.5,0,2,98,246,6203,7006,110170,5132408,0,0,1000000,0,10279215,Ndyebokazi,26
906,2009/08/26,32,22,28,29,42,21,13,1255717,388674,4385,842,84,51,10.5,1,1,75,284,4624,7615,83177,3862533.5,0,0,1000000,0,7726323,Khensani,35
905,2009/08/22,47,20,39,9,45,6,33,1535412,95049,3793,1366,106,70,10.5,1,5,106,214,4456,6780,87726,4573098,0,0,1000000,0,9153733,Ndyebokazi,54
904,2009/08/19,43,48,25,45,14,20,8,0,0,12351,4042,257,157,10.5,0,0,54,145,2795,4581,59369,3313950.5,0,0,1000000,0,6636330,Khensani,48
903,2009/08/15,43,12,4,11,7,27,29,737898,76132,2147,652,48,45,10.5,2,6,180,431,9423,10132,142950,5009279,0,0,1000000,0,10029559,Ndyebokazi,40
902,2009/08/12,48,20,23,34,37,33,15,0,0,9832,3365,194,148,10.5,0,0,67,172,3666,4808,71113,3406998.5,0,0,1000000,0,6816796,Ndyebokazi,29
901,2009/08/08,11,7,20,6,9,36,25,0,143591,5562,1563,91,84,10.5,0,5,117,352,7859,8518,127759,4691035.5,0,0,1000000,0,9392829,Mapula,44
900,2009/08/05,12,5,31,46,4,44,48,0,645833,7053,2219,155,118,10.5,0,1,83,223,4165,5444,79050,3844061,0,0,1000000,0,7695876,Mapula,45
899,2009/08/01,44,42,35,31,34,16,30,0,1312929,7678,2858,162,105,10.5,0,1,155,352,8084,12467,153448,7738882,0,0,1000000,0,15492781,Mapula,53
898,2009/07/29,49,39,9,30,15,3,34,0,210777,5971,2079,117,122,10.5,0,3,96,233,5396,5169,89032,3886740,0,0,1000000,0,7779312,Ndyebokazi,54
897,2009/07/25,4,33,32,31,40,10,45,1644300,508950,4140,1527,100,84,10.5,1,1,104,205,5045,6011,100970,4966454,0,0,1000000,0,9950374,Ndyebokazi,48
896,2009/07/22,25,27,31,34,36,10,19,0,143488,6586,2232,179,105,10.5,0,4,79,197,3203,5435,63486,3344565,0,0,1000000,0,6697276.5,Mapula,50
895,2009/07/18,31,36,40,17,43,33,41,0,834929,5913,2057,144,109,10.5,0,1,128,311,5789,7654,105401,5006132.5,0,0,1000000,0,10016502,Khensani,29
894,2009/07/15,40,36,4,49,37,25,35,1352031,418485,4721,1471,116,77,10.5,1,1,75,175,3588,5381,69404,3941303,0,0,1000000,0,7895728,Ndyebokazi,34
893,2009/07/11,4,16,19,7,14,48,21,1475954,114210,2328,647,54,42,10.5,1,4,166,434,8418,10870,141145,4993174.5,0,0,1000000,0,9992398,Mapula,40
892,2009/07/08,14,44,19,5,2,16,23,1212868,187705,2968,891,69,49,10.5,1,2,107,259,5370,7576,95311,3879142.5,0,0,1000000,0,7777093,Mapula,38
891,2009/07/04,11,7,17,26,20,19,47,1149477,177895,1967,754,43,46,10.5,2,4,306,580,16260,15442,252597,8111536.5,0,0,1000000,0,16251937,Mapula,55
890,2009/07/01,11,35,17,2,34,48,23,1841508,142497,4507,890,91,55,10.5,1,4,107,394,6219,10349,117464,5612901,0,0,1000000,0,11235832,Ndyebokazi,39
889,2009/06/27,47,6,1,29,18,4,15,2303259,178228,3942,737,80,63,10.5,1,4,153,595,8826,11220,166625,7220314.5,0,0,1000000,0,14467026,Ndyebokazi,33
888,2009/06/24,27,42,3,2,20,17,40,0,136865,7298,1864,122,101,10.5,0,4,68,225,4455,5391,83430,3427140,0,0,1000000,0,6868515,Mapula,50
887,2009/06/20,25,42,38,21,17,3,13,1560121,120723,4393,856,96,54,10.5,1,4,93,347,4998,8840,97382,4728273,0,0,1000000,0,9474171,Khensani,27
886,2009/06/17,6,13,35,31,39,46,27,0,0,12014,3584,223,144,10.5,0,0,55,162,3200,4953,64827,3348893.5,0,0,1000000,0,6701163,Mapula,37
885,2009/06/13,19,43,4,39,47,24,23,0,0,9320,3403,174,135,10.5,0,0,96,231,5537,7120,101237,4668439.5,0,0,1000000,0,9356223,Mapula,34
884,2009/06/10,26,30,43,35,20,42,23,0,605911,9309,3544,197,133,10.5,0,1,59,131,3074,4542,62342,3483661,0,0,1000000,0,6971907,Mapula,53
883,2009/06/06,6,30,12,41,9,26,44,0,280456,5822,2568,138,117,10.5,0,3,131,251,6077,7182,111108,5094172,0,0,1000000,0,10196539,Ndyebokazi,52
882,2009/06/03,19,28,17,34,49,1,14,0,313651,5314,1946,114,83,10.5,0,2,107,247,5469,7509,94724,3917877,0,0,1000000,0,7851856,Khensani,24
881,2009/05/30,4,49,11,22,19,37,3,765404,236910,2140,901,58,51,10.5,3,3,281,485,12056,13805,191178,7455939,0,0,1000000,0,14949085,Khensani,45
880,2009/05/27,47,44,38,35,23,36,16,0,322237,5784,2743,144,123,10.5,0,2,101,180,4461,5236,74803,3794241.5,0,0,1000000,0,7593994,Mapula,50
879,2009/05/23,22,19,20,36,13,16,37,0,787916,9276,3144,142,122,10.5,0,1,77,192,5534,6454,108760,4821012,0,0,1000000,0,9647664,Ndyebokazi,48
878,2009/05/20,21,12,18,3,20,40,48,1099848,85107,3693,793,69,62,10.5,1,4,78,264,4914,5471,83931,3497225.5,0,0,1000000,0,6999925.5,Khensani,39
877,2009/05/16,16,36,45,9,15,12,27,0,156889,6904,1438,140,78,10.5,0,5,103,418,5601,10004,104915,4762700.5,0,0,1000000,0,6534517,Ndyebokazi,34
876,2009/05/13,11,2,14,31,33,10,43,0,543371,4975,1867,116,97,10.5,0,1,99,223,4670,5557,83702,3411857,0,0,1000000,0,6835983,Ndyebokazi,27
875,2009/05/09,39,29,9,26,21,45,13,0,274343,7853,2034,156,96,10.5,0,3,95,310,5251,8498,101584,4901200,0,0,1000000,0,9825129,Mapula,55
874,2009/05/06,19,25,6,28,36,15,49,0,232168,7257,2437,137,108,10.5,0,3,87,219,5061,6397,94075,4233586.5,0,0,1000000,0,8484981,Khensani,49
873,2009/05/02,2,29,19,17,10,33,22,1697118,175099,1852,608,51,42,10.5,1,3,240,531,10145,12467,157208,5681436,0,0,1000000,0,11382883,Khensani,45
872,2009/04/29,30,43,41,45,2,38,13,1322325,204645,7528,1019,106,72,10.5,1,2,46,247,3833,5671,71303,3892887.5,0,0,1000000,0,7794153,Khensani,54
871,2009/04/25,37,19,17,4,25,28,1,0,158617,4155,2005,100,85,10.5,0,5,173,303,7870,9286,123047,4987718.5,0,0,1000000,0,9996003,Mapula,44
870,2009/04/22,26,24,35,44,11,7,48,0,266427,4979,2072,108,95,10.5,0,2,97,197,4896,5578,82984,3354011,0,0,1000000,0,6722619,Khensani,25
869,2009/04/18,38,39,32,20,27,2,41,0,220940,10359,2853,173,128,10.5,0,6,116,356,7630,10301,155085,7809862.5,0,0,1000000,0,15645945,Khensani,37
868,2009/04/15,41,13,28,46,35,43,49,0,302828,11129,2116,161,100,10.5,0,3,74,329,5634,9070,104380,5338258,0,0,1000000,0,10682503,Mapula,35
867,2009/04/11,32,15,28,29,1,33,12,1832420,113435,4847,1187,96,65,10.5,1,5,99,294,5895,8640,108513,5495332.5,0,0,1000000,0,11004586,Mapula,55
866,2009/04/08,49,28,31,7,3,8,26,0,402453,5445,2234,119,107,10.5,0,2,134,276,6749,7520,127471,5097336.5,0,0,1000000,0,10199394,Khensani,33
865,2009/04/04,2,34,19,12,26,17,11,0,278689,4552,1536,102,77,10.5,0,4,222,556,10831,14413,176052,7042425,0,0,1000000,0,14115376,Ndyebokazi,24
864,2009/04/01,34,19,49,13,48,40,15,0,347424,11885,2802,169,132,10.5,0,2,53,190,4088,5243,85620,4139091,0,0,1000000,0,8291934,Suikerbossie,53
863,2009/03/28,6,8,22,14,3,40,12,2356195,243099,3132,753,73,49,10.5,1,3,197,596,9959,14741,172870,7415735,0,0,1000000,0,14850250,Suikerbossie,49
862,2009/03/25,9,42,49,3,16,17,29,0,135119,4536,910,84,51,7,0,4,108,455,6395,10476,116636,3332322,0,0,1000000,0,6684114,Ndyebokazi,45
861,2009/03/21,17,23,15,27,12,30,11,622552,48173,1462,520,44,31,7,2,8,223,456,8667,12135,145218,3967693,0,0,1000000,0,7962121,Ndyebokazi,44
860,2009/03/18,47,39,22,27,13,49,26,0,248736,2684,1664,67,72,7,0,2,168,229,7416,6820,112926,3107834,0,0,1000000,0,6230239,Khensani,40
859,2009/03/14,28,21,48,6,1,5,8,1359373,70126,2507,562,56,29,7,1,6,142,460,7435,14155,146189,4244821,0,0,1000000,0,8519852,Suikerbossie,35
858,2009/03/11,3,37,9,27,24,44,31,0,173556,2860,1500,72,72,7,0,3,165,266,7207,7211,119666,3267326,0,0,1000000,0,6541398,Ndyebokazi,51
857,2009/03/07,36,26,2,41,28,31,15,0,248260,5444,1761,105,75,7,0,3,124,324,7074,9930,121254,4326698,0,0,1000000,0,8658125,Suikerbossie,48
856,2009/03/04,38,2,19,29,20,23,13,0,99987,5035,1256,91,54,7,0,6,108,366,6591,10943,121997,3648080,0,0,1000000,0,7314754,Ndyebokazi,33
855,2009/02/28,32,29,42,1,33,30,19,0,201675,5625,1585,113,69,7,0,4,130,390,7111,11628,137804,4726603,0,0,1000000,0,9468542,Ndyebokazi,24
854,2009/02/25,33,45,16,5,28,30,15,0,185924,5006,1458,106,66,7,0,3,101,293,5249,8363,103233,3321555,0,0,1000000,0,6658095,Khensani,53
853,2009/02/21,48,4,45,33,6,39,19,1485828,153299,3970,658,69,38,7,1,3,98,430,6583,11996,128732,4428924,0,0,1000000,0,8877624,Khensani,37
852,2009/02/18,38,45,12,27,43,14,11,0,559866,5971,1915,101,75,7,0,1,85,224,5496,7440,102043,3323758,0,0,1000000,0,6661003,Khensani,51
851,2009/02/14,3,41,15,16,18,2,13,736981,65175,3216,662,60,37,7,2,7,120,424,7498,12175,143853,4504121,0,0,1000000,0,9032809,Khensani,52
850,2009/02/11,21,33,47,42,9,48,13,1101497,170469,2046,509,51,36,7,1,2,141,412,6667,9294,113840,3412110,0,0,1000000,0,6838987,Suikerbossie,29
849,2009/02/07,38,12,23,35,36,5,34,859013,132942,1092,739,54,41,7,3,6,618,664,14569,19047,253693,7883747,0,0,1000000,0,15823327,Khensani,54
848,2009/02/04,8,23,37,24,25,40,43,1952749,100737,2905,445,62,38,7,1,6,176,835,9649,15552,178987,5882149,0,0,1000000,0,11804627,Ndyebokazi,45
847,2009/01/31,6,11,24,15,14,36,5,0,464401,4876,1207,90,59,7,0,3,259,884,15447,23337,285213,8486679,0,0,1000000,0,17013590,Ndyebokazi,43
846,2009/01/28,43,17,37,40,2,24,8,576852,119033,2877,661,62,38,7,2,3,105,332,5684,9216,103537,3459715,0,0,1000000,0,6943350,Khensani,39
845,2009/01/24,16,36,11,44,25,14,12,0,879918,4382,1798,91,68,7,0,1,182,375,9594,12755,171374,5291704,0,0,1000000,0,10622772,Khensani,48
844,2009/01/21,6,30,13,11,23,38,12,1111119,0,3137,936,61,46,7,1,0,108,282,6331,8327,113659,3278713,0,0,1000000,0,6573823,Suikerbossie,54
843,2009/01/17,1,22,39,44,46,33,30,0,232832,3957,1597,81,75,7,0,3,160,335,8583,9206,135978,4204130,0,0,1000000,0,8431713,Ndyebokazi,24
842,2009/01/14,38,8,46,11,20,12,4,0,256409,4893,1466,100,56,7,0,2,95,268,5105,9057,97057,3067632,0,0,1000000,0,6151497,Khensani,50
841,2009/01/10,9,29,18,20,5,17,32,608259,125513,1841,513,43,32,7,2,3,173,451,8587,11729,150773,3942893,0,0,1000000,0,7903765,Ndyebokazi,41
840,2009/01/07,45,7,18,17,24,27,32,954146,59066,2048,545,39,31,7,1,5,122,333,7468,9361,123522,3126914,0,0,1000000,0,6272864,Khensani,29
839,2009/01/03,23,31,34,20,32,11,26,0,626421,5307,1638,99,67,7,0,1,107,293,6318,9255,119964,3759519,0,0,1000000,0,7533904,Ndyebokazi,36
838,2008/12/31,36,2,23,47,41,27,45,1266278,195971,3604,834,70,50,7,1,2,92,289,5523,7832,111908,3792380,0,0,1000000,0,7596608,Khensani,44
837,2008/12/27,29,27,22,49,33,10,18,0,566998,4630,1164,88,55,7,0,1,111,373,6424,10225,123311,3505964,0,0,1000000,0,7025407,Mapula,53
836,2008/12/24,27,48,36,13,26,1,3,598328,123464,2633,629,55,39,7,2,3,119,362,6629,9303,118330,3663795,0,0,1000000,0,7354984,Khensani,45
835,2008/12/20,1,13,31,49,25,8,27,1456431,112700,1986,514,49,35,7,1,4,192,539,9060,12723,152327,4521123,0,0,1000000,0,9067965,Khensani,38
834,2008/12/17,29,14,23,1,35,12,33,0,139904,6263,1531,101,64,7,0,4,81,280,5494,8706,105799,3348270,0,0,1000000,0,6711251,Mapula,55
833,2008/12/13,16,43,15,21,19,5,2,628018,72894,2681,698,51,38,7,3,8,184,514,11274,15043,207064,5915338,0,0,1000000,0,11870586,Ndyebokazi,26
832,2008/12/10,40,24,28,43,16,21,41,1154616,119127,2964,631,65,48,7,1,3,102,348,5425,7312,106946,3486136,0,0,1000000,0,6995416,Mapula,33
831,2008/12/06,22,17,46,15,13,33,39,0,292483,4142,1389,83,67,7,0,3,192,484,10457,12948,192600,5428636,0,0,1000000,0,10896861,Ndyebokazi,49
830,2008/12/03,26,31,6,32,41,14,11,1307872,134939,3142,790,67,41,7,1,3,109,315,5988,9838,110401,3881378,0,0,1000000,0,7773580,Ndyebokazi,52
829,2008/11/29,18,17,4,2,37,8,32,815015,168177,1940,555,41,34,7,2,3,220,559,12030,14568,200337,5262507,0,0,1000000,0,10566770,Khensani,40
828,2008/11/26,15,49,3,23,43,44,13,0,180297,3801,488,84,42,7,0,3,129,848,6429,12644,111682,3297902,0,0,1000000,0,6618621,Khensani,34
827,2008/11/22,25,35,13,1,39,27,31,0,217769,4486,1708,85,75,7,0,3,132,293,7661,8609,122265,3898618,1000000,0,1000000,0,7817390,Ndyebokazi,36
826,2008/11/19,32,17,22,16,48,41,43,1035833,106871,2379,818,60,43,7,1,3,114,241,5292,7371,100552,3163127,0,0,1000000,0,6340268,Mapula,50
825,2008/11/15,40,32,11,29,49,8,41,0,171137,4596,1391,96,72,7,0,4,135,377,7074,9458,139345,4164910,0,0,1000000,0,8348481,Khensani,53
824,2008/11/12,31,47,9,29,49,32,34,1038549,160727,4184,903,62,41,7,1,2,65,219,5170,7822,96615,3147267,0,0,1000000,0,6298082,Mapula,45
823,2008/11/08,15,40,24,11,43,18,49,0,375186,4122,1819,97,78,7,0,2,165,316,7693,9547,151056,4553585,0,0,1000000,0,9127614,Khensani,48
822,2008/11/05,31,6,42,19,1,33,36,0,603370,4927,1744,101,76,7,0,1,111,265,5953,7938,116782,3634442,0,0,1000000,0,7273920,Mapula,43
821,2008/11/01,13,43,42,2,38,30,5,0,811883,5219,1851,111,75,7,0,1,141,336,7290,10712,145351,4799745,0,0,1000000,0,9622608,Khensani,26
820,2008/10/29,10,46,19,4,39,47,49,0,296257,5654,1681,99,66,7,0,2,95,270,5950,8963,106256,3507914,0,0,1000000,0,7025116,Ndyebokazi,45
819,2008/10/25,42,16,49,37,18,15,45,1881798,582461,3139,909,67,49,7,1,1,157,394,8575,11847,170125,5661131,0,0,1000000,0,11342694,Mapula,47
818,2008/10/22,4,44,49,24,43,31,27,0,539969,6196,1675,97,75,7,0,1,79,247,5530,7135,101234,3223351,0,0,1000000,0,6463724,Ndyebokazi,52
817,2008/10/18,47,43,44,36,42,5,1,1403659,434466,3282,838,52,56,7,1,1,112,319,8327,7669,135334,4282837,0,0,1000000,0,8578769,Mapula,35
816,2008/10/15,12,40,10,27,39,34,46,0,277008,5022,2071,105,85,7,0,2,100,205,5262,6493,99327,3280475,0,0,1000000,0,6568305,Ndyebokazi,49
815,2008/10/11,6,38,26,1,35,43,36,0,184285,6616,2010,131,84,7,0,4,101,281,5624,8764,111255,4221871,0,0,1000000,0,8446750,Khensani,29
814,2008/10/08,18,23,38,48,15,42,30,0,192463,4290,1418,90,71,7,0,3,122,312,6378,8048,114431,3489630,0,0,1000000,0,6998204,Khensani,33
813,2008/10/04,21,12,18,25,48,40,41,0,757678,4769,1678,89,78,7,0,1,144,346,8493,9706,139686,4515749,0,0,1000000,0,9036711,Mapula,30
812,2008/10/01,48,5,44,22,47,6,29,0,585965,6724,2041,106,80,7,0,1,79,220,5484,7290,111052,3508049,0,0,1000000,0,7031044,Khensani,50
811,2008/09/27,29,16,14,18,8,34,12,1345458,75718,2129,492,48,33,7,2,11,331,1041,17351,25087,301209,8509867,0,0,1000000,0,17030813,Khensani,38
810,2008/09/24,36,49,43,35,27,16,17,945045,292514,2578,725,60,42,7,1,1,96,248,4863,6809,85934,2844143,0,0,1000000,0,5703295,Khensani,48
809,2008/09/20,4,13,46,32,2,18,17,1298274,401846,2956,818,59,43,7,1,1,115,302,6738,9257,126427,3967678,0,0,1000000,0,7952237,Suikerbossie,37
808,2008/09/17,17,38,41,46,34,4,36,0,525052,5471,1880,111,84,7,0,1,87,214,4700,6197,90191,3076934,0,0,1000000,0,6169711,Mapula,34
807,2008/09/13,12,21,40,18,47,42,2,0,668492,5135,1985,113,76,7,0,1,118,258,5881,8693,117401,3933580,0,0,1000000,0,7891204,Khensani,55
806,2008/09/10,22,21,34,48,46,33,39,1011646,104376,2623,887,60,48,7,1,3,101,217,5136,6426,99235,3093429,0,0,1000000,0,6206653,Khensani,30
805,2008/09/06,19,45,30,24,35,2,7,0,185387,6930,1410,116,64,7,0,4,97,403,6351,11431,124365,4320843,0,0,1000000,0,8671477,Suikerbossie,47
804,2008/09/03,17,21,12,28,49,27,13,0,186254,4443,1436,85,56,7,0,3,114,298,6541,9807,121317,3447588,0,0,1000000,0,6920524,Khensani,53
803,2008/08/30,10,39,6,31,32,15,25,0,117300,6766,1477,107,71,7,0,7,110,426,7644,11520,139633,4807821,0,0,1000000,0,9628736,Khensani,35
802,2008/08/27,9,23,10,41,2,24,27,0,283150,5292,1637,94,67,7,0,2,97,265,6019,8408,116012,3454635,0,0,1000000,0,6916703,Khensani,36
801,2008/08/23,1,7,14,22,5,16,10,0,38952,2198,689,52,36,7,0,16,257,693,11939,16925,179063,4149164,0,0,1000000,0,8331606,Mapula,50
800,2008/08/20,24,36,23,3,26,32,9,328901,101802,2778,666,61,35,7,3,3,93,282,4942,8556,97207,3019646,0,0,1000000,0,6059488,Mapula,44
799,2008/08/16,12,36,35,23,5,49,33,156573,109042,1902,573,54,34,7,9,4,194,468,8009,12469,136277,4292848,0,0,1000000,0,8618188,Mapula,33
798,2008/08/13,12,20,45,39,23,37,31,0,270165,4709,1925,114,85,7,0,2,104,215,4736,6302,91205,3157950,0,0,1000000,0,6326694,Mapula,37
797,2008/08/09,32,10,11,31,26,36,4,2445507,126157,3353,952,66,46,7,1,6,191,489,11333,16232,215755,7313335,0,0,1000000,0,14665846,Khensani,38
796,2008/08/06,15,44,2,32,38,16,36,0,197922,5850,2136,106,91,7,0,3,92,213,5601,6471,104648,3502037,0,0,1000000,0,7014302,Mapula,55
795,2008/08/02,39,19,27,8,34,44,43,475760,73629,1316,583,40,38,7,3,6,284,466,10929,11356,165795,4543729,0,0,1000000,0,9117706,Khensani,29
794,2008/07/30,31,10,22,48,24,43,35,1135481,351458,3304,1001,70,48,7,1,1,90,216,4957,7248,98712,3386393,0,0,1000000,0,6789022,Khensani,34
793,2008/07/26,45,16,29,26,21,35,30,0,46992,4672,1955,117,85,7,0,17,155,313,6799,9296,136183,4673863,0,0,1000000,0,9372687,Khensani,49
792,2008/07/23,6,44,26,2,4,9,32,1009017,0,2051,810,42,48,7,1,0,150,296,8318,7237,129279,3158112,0,0,1000000,0,6334648,Mapula,39
